
[2025-12-06 12:12:55] Refreshed Fill History for 0x4aab8988462923ca3cbaa7e94df0cc523817cd64 (hype聪明钱): 2000 entries
{'coin': 'BTC', 'px': '102505.0', 'sz': '0.61049', 'side': 'A', 'time': 1762962462990, 'startPosition': '100.61049', 'dir': 'Close Long', 'closedPnl': '-366.416098', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '18.773483', 'tid': 147335928688544, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102505.0', 'sz': '0.018', 'side': 'A', 'time': 1762962462990, 'startPosition': '100.62849', 'dir': 'Close Long', 'closedPnl': '-10.8036', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.553527', 'tid': 829954572498455, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102505.0', 'sz': '0.02', 'side': 'A', 'time': 1762962462990, 'startPosition': '100.64849', 'dir': 'Close Long', 'closedPnl': '-12.004', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.61503', 'tid': 104036943991475, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102505.0', 'sz': '0.02', 'side': 'A', 'time': 1762962462990, 'startPosition': '100.66849', 'dir': 'Close Long', 'closedPnl': '-12.004', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.61503', 'tid': 145597662335604, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102505.0', 'sz': '0.01', 'side': 'A', 'time': 1762962462990, 'startPosition': '100.67849', 'dir': 'Close Long', 'closedPnl': '-6.002', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.307515', 'tid': 87771033839456, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102505.0', 'sz': '0.05', 'side': 'A', 'time': 1762962462990, 'startPosition': '100.72849', 'dir': 'Close Long', 'closedPnl': '-30.01', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '1.537574', 'tid': 486208280580774, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102506.0', 'sz': '7.7559', 'side': 'A', 'time': 1762962462990, 'startPosition': '108.48439', 'dir': 'Close Long', 'closedPnl': '-4647.33528', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '238.507885', 'tid': 902141056699018, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102506.0', 'sz': '2.86632', 'side': 'A', 'time': 1762962462990, 'startPosition': '111.35071', 'dir': 'Close Long', 'closedPnl': '-1717.498944', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '88.144499', 'tid': 114731074545070, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102506.0', 'sz': '0.34027', 'side': 'A', 'time': 1762962462990, 'startPosition': '111.69098', 'dir': 'Close Long', 'closedPnl': '-203.889784', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '10.463914', 'tid': 152286484735225, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102506.0', 'sz': '0.016', 'side': 'A', 'time': 1762962462990, 'startPosition': '111.70698', 'dir': 'Close Long', 'closedPnl': '-9.5872', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.492028', 'tid': 512876440778278, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102506.0', 'sz': '0.09425', 'side': 'A', 'time': 1762962462990, 'startPosition': '111.80123', 'dir': 'Close Long', 'closedPnl': '-56.4746', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '2.898357', 'tid': 261507546292187, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102506.0', 'sz': '0.00346', 'side': 'A', 'time': 1762962462990, 'startPosition': '111.80469', 'dir': 'Close Long', 'closedPnl': '-2.073232', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.106401', 'tid': 28627414606133, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102506.0', 'sz': '0.015', 'side': 'A', 'time': 1762962462990, 'startPosition': '111.81969', 'dir': 'Close Long', 'closedPnl': '-8.988', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.461276', 'tid': 981570281894172, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102507.0', 'sz': '1.64299', 'side': 'A', 'time': 1762962462990, 'startPosition': '113.46268', 'dir': 'Close Long', 'closedPnl': '-982.836618', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '50.525392', 'tid': 330921910982835, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102507.0', 'sz': '0.016', 'side': 'A', 'time': 1762962462990, 'startPosition': '113.47868', 'dir': 'Close Long', 'closedPnl': '-9.5712', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.492033', 'tid': 862601012499318, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102507.0', 'sz': '0.00318', 'side': 'A', 'time': 1762962462990, 'startPosition': '113.48186', 'dir': 'Close Long', 'closedPnl': '-1.902276', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.097791', 'tid': 718379864011670, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102507.0', 'sz': '0.0005', 'side': 'A', 'time': 1762962462990, 'startPosition': '113.48236', 'dir': 'Close Long', 'closedPnl': '-0.2991', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.015376', 'tid': 389384025195049, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102507.0', 'sz': '0.02', 'side': 'A', 'time': 1762962462990, 'startPosition': '113.50236', 'dir': 'Close Long', 'closedPnl': '-11.964', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.615042', 'tid': 36025654495117, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102508.0', 'sz': '0.09755', 'side': 'A', 'time': 1762962462990, 'startPosition': '113.59991', 'dir': 'Close Long', 'closedPnl': '-58.25686', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '2.999896', 'tid': 36071756661701, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102508.0', 'sz': '0.018', 'side': 'A', 'time': 1762962462990, 'startPosition': '113.61791', 'dir': 'Close Long', 'closedPnl': '-10.7496', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.553543', 'tid': 295435494011010, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102508.0', 'sz': '0.00015', 'side': 'A', 'time': 1762962462990, 'startPosition': '113.61806', 'dir': 'Close Long', 'closedPnl': '-0.08958', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.004612', 'tid': 911996833816201, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102508.0', 'sz': '0.00318', 'side': 'A', 'time': 1762962462990, 'startPosition': '113.62124', 'dir': 'Close Long', 'closedPnl': '-1.899096', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.097792', 'tid': 1003304539942366, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102508.0', 'sz': '0.015', 'side': 'A', 'time': 1762962462990, 'startPosition': '113.63624', 'dir': 'Close Long', 'closedPnl': '-8.958', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.461285', 'tid': 1119177822279932, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102509.0', 'sz': '2.43917', 'side': 'A', 'time': 1762962462990, 'startPosition': '116.07541', 'dir': 'Close Long', 'closedPnl': '-1454.233154', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '75.011063', 'tid': 365970237771275, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102509.0', 'sz': '0.89421', 'side': 'A', 'time': 1762962462990, 'startPosition': '116.96962', 'dir': 'Close Long', 'closedPnl': '-533.128002', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '27.499371', 'tid': 349356250563315, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102509.0', 'sz': '0.00097', 'side': 'A', 'time': 1762962462990, 'startPosition': '116.97059', 'dir': 'Close Long', 'closedPnl': '-0.578314', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.02983', 'tid': 681743595081413, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102509.0', 'sz': '0.02', 'side': 'A', 'time': 1762962462990, 'startPosition': '116.99059', 'dir': 'Close Long', 'closedPnl': '-11.924', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.615054', 'tid': 707253865618891, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102509.0', 'sz': '0.00451', 'side': 'A', 'time': 1762962462990, 'startPosition': '116.9951', 'dir': 'Close Long', 'closedPnl': '-2.688862', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.138694', 'tid': 1116732906024642, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102510.0', 'sz': '7.7559', 'side': 'A', 'time': 1762962462990, 'startPosition': '124.751', 'dir': 'Close Long', 'closedPnl': '-4616.31168', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '238.517192', 'tid': 16106792130984, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102510.0', 'sz': '0.09755', 'side': 'A', 'time': 1762962462990, 'startPosition': '124.84855', 'dir': 'Close Long', 'closedPnl': '-58.06176', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '2.999955', 'tid': 903335688881878, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102510.0', 'sz': '0.00048', 'side': 'A', 'time': 1762962462990, 'startPosition': '124.84903', 'dir': 'Close Long', 'closedPnl': '-0.285696', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.014761', 'tid': 784577359430954, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102510.0', 'sz': '0.34027', 'side': 'A', 'time': 1762962462990, 'startPosition': '125.1893', 'dir': 'Close Long', 'closedPnl': '-202.528704', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '10.464323', 'tid': 218822499889803, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102510.0', 'sz': '0.018', 'side': 'A', 'time': 1762962462990, 'startPosition': '125.2073', 'dir': 'Close Long', 'closedPnl': '-10.7136', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.553554', 'tid': 649943063450793, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102510.0', 'sz': '0.00243', 'side': 'A', 'time': 1762962462990, 'startPosition': '125.20973', 'dir': 'Close Long', 'closedPnl': '-1.446336', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.074729', 'tid': 60540840213225, 'feeToken': 'USDC', 'twapId': None}
{'coin': 'BTC', 'px': '102510.0', 'sz': '0.00339', 'side': 'A', 'time': 1762962462990, 'startPosition': '125.21312', 'dir': 'Close Long', 'closedPnl': '-2.017728', 'hash': '0xbd75f43df2e9fa6cbeef042f58917202147c00238ded193e613e9f90b1edd457', 'oid': 232401572557, 'crossed': True, 'fee': '0.104252', 'tid': 317775616984384, 'feeToken': 'USDC', 'twapId': None}
